Samples,UTY,MIR12120,HTR6,NPY5R,TFAP2B,CHRNA6,BALR6,GPR50,HAND2,CD70,ESM1,ITGB4,OTOF,ZIM2,ASNSP1,CBLN4,PEG3-AS1,WNT3A,PAX3,NR4A2
Control,7.009452621,-0.621607596,1.005042763,7.039952653,1.005042763,1.005042763,3.995921523,3.505404178,1.005042763,-0.621607596,1.005042763,1.58206277,1.58206277,3.995921523,3.722086996,4.360974784,3.910312929,1.58206277,6.150370234,1.980242637
Control,6.94046453,0.910752532,0.910752532,6.882597147,3.448786127,0.910752532,3.902431024,3.737755382,-0.621607596,1.462725693,0.910752532,3.737755382,0.910752532,3.086376438,3.086376438,4.84042647,3.902431024,0.910752532,5.983333487,3.217657982
Control,7.385112576,-0.621607596,2.11500625,7.272813797,3.671488921,-0.621607596,3.785280832,4.468871981,-0.621607596,-0.621607596,1.101818745,3.988940693,1.101818745,2.907404641,3.096391135,5.158378519,2.689367629,1.101818745,6.387261218,1.703338325
Control,7.28779805,-0.621607596,4.817341561,7.10539083,-0.621607596,-0.621607596,-0.621607596,-0.621607596,4.168232639,-0.621607596,-0.621607596,-0.621607596,4.240922467,5.784278777,1.991838729,1.592467328,-0.621607596,-0.621607596,6.221096948,-0.621607596
Control,7.470819804,1.074186324,1.668834146,7.24061344,3.843176963,1.074186324,4.119016104,4.119016104,1.074186324,-0.621607596,1.074186324,4.35037817,1.074186324,3.624640975,2.647038938,4.486245702,2.647038938,1.074186324,6.353964384,2.647038938
Case,7.425197752,-0.621607596,1.606925906,7.165913822,6.051361338,1.024804342,4.112396859,4.397143084,-0.621607596,2.007942295,1.024804342,5.098948402,1.606925906,3.757014665,2.785140859,5.731298542,2.971381627,1.024804342,6.295939165,1.606925906
Case,7.769367999,2.565067856,4.558036286,7.543230657,3.562560624,3.050130704,4.558036286,2.828237685,2.241085379,2.241085379,1.817501844,3.939255789,4.484328457,4.758918315,2.565067856,3.699404011,3.242076974,3.242076974,6.606243585,3.824329747
Case,7.754029594,-0.621607596,1.760127865,7.46890439,2.49807626,-0.621607596,4.854820445,3.623646743,-0.621607596,-0.621607596,2.177815949,5.436962427,1.147469862,3.623646743,3.337210541,6.278205676,3.623646743,1.760127865,6.557710129,2.978671756
Case,7.917253928,2.611798972,4.198763717,7.663023707,3.614664272,3.614664272,4.750285466,2.611798972,2.285294388,3.462748151,1.857690944,3.752021945,4.291701776,4.198763717,2.611798972,3.87737998,2.611798972,3.462748151,6.714734453,3.614664272
Case,7.754701193,-0.621607596,1.112375471,7.474933995,4.792978199,1.112375471,4.099115666,4.267205758,-0.621607596,1.112375471,1.112375471,3.113306246,1.112375471,3.430054251,3.113306246,5.177359352,2.923963126,1.112375471,6.527336575,2.129573587
Case,7.704954209,-0.621607596,1.063424536,7.400592899,4.400700768,1.063424536,3.824533155,4.649273274,-0.621607596,1.063424536,1.063424536,5.088632972,1.65536944,3.606273555,3.034428032,5.209646756,2.374886387,1.65536944,6.453022079,2.630474566
Case,7.510317031,2.46821178,-0.621607596,7.199434332,-0.621607596,1.524602815,6.899549644,-0.621607596,3.30409738,2.679418261,3.913025276,2.46821178,2.863118533,4.33935976,3.30409738,4.069600105,5.52716286,3.30409738,6.25339808,2.219464465
Case,7.71347273,2.038297459,3.690348208,7.410319972,2.60439204,4.070191468,5.665932219,3.454597809,2.038297459,2.819908291,1.046537497,2.60439204,4.970952189,4.925597272,2.038297459,4.070191468,4.300999877,3.32037845,6.43748165,3.984221795
Case,7.839805838,1.085675571,-0.621607596,7.500514913,6.080914221,1.085675571,4.297606477,4.139153159,-0.621607596,1.683192527,1.085675571,4.370738475,1.683192527,4.745344021,2.407716688,5.623587849,3.757751542,1.085675571,6.526851667,2.407716688
Case,7.776723543,1.029063719,1.029063719,7.409454592,4.798225596,-0.621607596,3.95324323,4.468102047,-0.621607596,2.013900348,1.029063719,5.18417021,1.612278194,3.861972542,2.978370974,5.633130842,2.978370974,1.612278194,6.451964957,2.577286091
Case,7.823329649,-0.621607596,1.622588232,7.433207973,2.805114645,-0.621607596,4.543634847,4.053715584,-0.621607596,1.622588232,1.622588232,6.336854679,1.622588232,4.134765122,2.991817778,5.342661755,3.304755477,1.037273797,6.4984961,3.674254607
Case,7.746341042,2.480219692,2.875826534,7.366928355,4.156042481,0.967121686,5.028902832,0.967121686,1.534209096,2.691819991,1.534209096,3.841705908,3.438737244,4.822216123,2.23094621,4.224955276,4.865992661,2.23094621,6.378178943,0.967121686
Case,7.979366252,-0.621607596,-0.621607596,7.599041293,6.284018076,-0.621607596,3.943792788,4.671434531,-0.621607596,1.075721961,1.075721961,4.781375855,1.670754253,4.121712697,2.393050084,6.084094143,3.054350936,1.670754253,6.630822477,1.670754253
Case,8.020547753,-0.621607596,1.082450735,7.634001363,4.895683974,-0.621607596,3.752233317,4.991100765,-0.621607596,2.088212683,1.082450735,3.857444744,1.082450735,5.03654062,3.955475189,5.786724724,2.876901302,1.082450735,6.657972773,2.088212683
Case,8.074041659,-0.621607596,1.078526627,7.641343853,3.745509998,-0.621607596,4.557422578,3.745509998,-0.621607596,-0.621607596,1.078526627,3.632029201,1.674260324,3.225091082,3.225091082,5.312726846,3.225091082,1.078526627,6.679436682,3.058884581
Case,8.079655132,1.061669254,1.061669254,7.616873311,5.206420979,-0.621607596,4.858008401,3.919300422,-0.621607596,1.653171882,1.061669254,4.397559217,1.653171882,4.906451052,2.627768629,6.330576322,3.031578379,1.061669254,6.689973303,3.19731092
Case,8.150844205,-0.621607596,-0.621607596,7.695824756,5.972623751,-0.621607596,4.05749194,4.954807008,-0.621607596,1.088335702,1.088335702,1.088335702,1.686514531,4.511449915,2.41163107,5.503613648,2.886186831,1.686514531,6.767227406,3.074711125
Case,8.283279344,-0.621607596,1.741169984,7.791196884,7.13079458,1.132206507,5.955124612,2.954941067,-0.621607596,1.132206507,1.132206507,2.735585189,2.475867232,5.254398483,3.836681852,4.771821277,4.133176272,1.741169984,6.901297873,3.598444352
Case,8.1593958,1.034752957,1.034752957,7.622671758,6.398913745,-0.621607596,5.40454282,4.349105388,-0.621607596,1.034752957,1.619423549,2.801082356,2.586124606,4.65303458,2.332349106,5.035796946,2.801082356,1.619423549,6.745605908,3.152646762
Case,8.720768897,2.732494024,-0.621607596,8.149520806,5.562958035,-0.621607596,7.189889661,2.732494024,1.311578718,-0.621607596,1.962114826,1.311578718,2.399751178,6.456976167,3.227950911,4.601324085,4.129684708,2.399751178,7.255206564,2.399751178
Case,7.998453287,-0.621607596,0.908818779,7.421650838,5.026301217,0.908818779,4.18041918,3.44525441,0.908818779,1.460265997,0.908818779,3.334385996,1.844006591,2.595904861,3.214198945,5.453800609,3.082963434,1.460265997,6.523409188,2.938411478
Case,8.284178185,-0.621607596,1.025729061,7.66692209,4.636470101,1.025729061,4.033099006,2.972899795,1.025729061,-0.621607596,1.025729061,3.654121907,2.00923617,4.462014454,3.654121907,4.522544571,3.28521794,1.025729061,6.778831616,2.00923617
Case,8.44519783,1.101521689,1.702967918,7.816955344,8.816141611,1.101521689,2.906938014,3.89020683,1.101521689,-0.621607596,1.101521689,4.080368714,1.702967918,4.598341354,2.688914123,5.279065249,2.114595965,1.702967918,6.933794999,2.114595965
